"","FID","publicid","origintime","longitude","latitude","depth","magnitude","magnitudetype","status","phases","type","agency","updatetime","origin_geom","Energy","Date","Time"
"1","quake.2014p051675","2014p051675","2014-01-20T02:52:45.945",175.8499,-40.6193,33.4766,6.1814,"M","reviewed",25,"","WEL(GNS_Primary)","2014-01-20T04:01:08.395","POINT (-40.619297 175.84994)",1.51844826614122,2014-01-20,"02:52:45.945"
"2","quake.2014p039372","2014p039372","2014-01-15T13:36:51.833",-179.8844,-31.0033,33,4.6044,"M","reviewed",20,"outside of network interest","WEL(GNS_Primary)","2014-01-22T01:49:00.503","POINT (-31.003273 -179.8844)",0.0402161044334213,2014-01-15,"13:36:51.833"
"3","quake.2014p037096","2014p037096","2014-01-14T17:23:47.239",-177.1361,-32.3066,33,4.732,"M","reviewed",50,"outside of network interest","WEL(GNS_Primary)","2014-01-16T01:12:26.961","POINT (-32.306625 -177.13609)",0.0539510622515128,2014-01-14,"17:23:47.239"
"4","quake.2014p035055","2014p035055","2014-01-13T23:16:21.016",178.4631,-30.8349,33,4.6029,"M","reviewed",50,"outside of network interest","WEL(GNS_Primary)","2014-01-15T22:04:47.016","POINT (-30.834911 178.4631)",0.0400774425280431,2014-01-13,"23:16:21.016"
"5","quake.2014p028369","2014p028369","2014-01-11T11:53:43.008",-178.5767,-31.0199,206.7729,4.635,"M","reviewed",57,"outside of network interest","WEL(GNS_Primary)","2014-01-14T01:28:35.425","POINT (-31.019852 -178.57669)",0.0431519076827765,2014-01-11,"11:53:43.008"
"6","quake.2014p024594","2014p024594","2014-01-10T02:22:51.358",179.4532,-31.2761,33,5.7139,"M","reviewed",42,"outside of network interest","WEL(GNS_Primary)","2014-01-13T20:08:04.497","POINT (-31.276098 179.45319)",0.51748766229348,2014-01-10,"02:22:51.358"
"7","quake.2014p012935","2014p012935","2014-01-05T18:50:43.582",-177.9001,-32.7957,33,4.5575,"M","reviewed",29,"outside of network interest","WEL(GNS_Primary)","2014-01-09T01:00:21.72","POINT (-32.7957 -177.90012)",0.0360994013586417,2014-01-05,"18:50:43.582"
"8","quake.2014p008327","2014p008327","2014-01-04T01:55:36.818",-177.0289,-30.746,250,4.5583,"M","reviewed",25,"outside of network interest","WEL(GNS_Primary)","2014-01-08T02:53:01.384","POINT (-30.746012 -177.02888)",0.0361659601975246,2014-01-04,"01:55:36.818"
"9","quake.2013p948581","2013p948581","2013-12-17T23:22:41.219",-177.9346,-32.5342,69.8262,4.9724,"M","reviewed",22,"","WEL(GNS_Primary)","2013-12-18T02:10:12.41","POINT (-32.53418 -177.93457)",0.0938425931237019,2013-12-17,"23:22:41.219"
"10","quake.2013p947283","2013p947283","2013-12-17T11:52:38.778",165.9725,-46.332,26.5625,4.579,"M","reviewed",30,"","WEL(GNS_Primary)","2013-12-18T01:30:10.507","POINT (-46.332017 165.97247)",0.0379314984973682,2013-12-17,"11:52:38.778"
"11","quake.2013p944608","2013p944608","2013-12-16T12:07:26.362",166.0419,-46.2803,24.6875,6.1964,"M","reviewed",13,"","WEL(GNS_Primary)","2013-12-16T12:19:50.977","POINT (-46.280309 166.04189)",1.57180982820392,2013-12-16,"12:07:26.362"
"12","quake.2013p932430","2013p932430","2013-12-11T23:59:11.82",169.5077,-44.0523,6.563,4.6054,"M","reviewed",53,"","WEL(GNS_Primary)","2013-12-12T00:09:34.646","POINT (-44.052338 169.50769)",0.0403088121287061,2013-12-11,"23:59:11.82"
"13","quake.2013p916547","2013p916547","2013-12-06T02:56:30.707",167.8814,-44.5755,15.8984,4.7091,"M","reviewed",31,"","WEL(GNS_Primary)","2013-12-06T03:07:49.401","POINT (-44.575466 167.88145)",0.0511799668202461,2013-12-06,"02:56:30.707"
"14","quake.2013p916300","2013p916300","2013-12-06T00:45:00.325",174.0251,-41.6954,21.1133,4.6714,"M","reviewed",48,"","WEL(GNS_Primary)","2013-12-06T00:49:29.554","POINT (-41.695407 174.02513)",0.046924537413644,2013-12-06,"00:45:00.325"
"15","quake.2013p912410","2013p912410","2013-12-04T14:10:06.676",-175.8453,-30.011,21,4.8321,"M","reviewed",59,"","WEL(GNS_Primary)","2013-12-04T20:29:28.234","POINT (-30.010981 -175.84528)",0.0679360043039865,2013-12-04,"14:10:06.676"
